guest_id,review_score,comments
212798,2,Review comment 489
192606,5,Review comment 490
124821,1,Review comment 491
55306,5,Review comment 492
234776,4,Review comment 493
102698,4,Review comment 494
268458,5,Review comment 495
24256,4,Review comment 496
264928,5,Review comment 497
35286,5,Review comment 498
14301,5,Review comment 499
245698,3,Review comment 500
257200,4,Review comment 501
221525,5,Review comment 502
27973,,Review comment 503
171832,1,Review comment 504
78626,3,Review comment 505
225408,5,Review comment 506
228170,3,Review comment 507
281166,3,Review comment 508
257180,4,Review comment 509
77497,3,Review comment 510
78461,3,Review comment 511
235538,,Review comment 512
212218,5,Review comment 513
135407,1,Review comment 514
184443,5,Review comment 515
253323,4,Review comment 516
125391,5,Review comment 517
102691,5,Review comment 518
97744,3,Review comment 519
81792,4,Review comment 520
66922,4,Review comment 521
163253,3,Review comment 522
209822,4,Review comment 523
137868,5,Review comment 524
57543,4,Review comment 525
274335,5,Review comment 526
270358,3,Review comment 527
56150,3,Review comment 528
141766,5,Review comment 529
113177,5,Review comment 530
291606,3,Review comment 531
127442,4,Review comment 532
168240,4,Review comment 533
40510,5,Review comment 534
12320,3,Review comment 535
294125,4,Review comment 536
217224,3,Review comment 537
287506,1,Review comment 538
294799,1,Review comment 539
159045,2,Review comment 540
109592,4,Review comment 541
16129,3,Review comment 542
199830,5,Review comment 543
135356,1,Review comment 544
1827,2,Review comment 545
66929,2,Review comment 546
207391,5,Review comment 547
129586,1,Review comment 548
211690,2,Review comment 549
140829,4,Review comment 550
287789,3,Review comment 551
65517,3,Review comment 552
103656,5,Review comment 553
71384,4,Review comment 554
295692,3,Review comment 555
103410,4,Review comment 556
46962,4,Review comment 557
249714,1,Review comment 558
51906,5,Review comment 559
48711,4,Review comment 560
244070,,Review comment 561
233269,2,Review comment 562
56307,4,Review comment 563
251945,,Review comment 564
94567,3,Review comment 565
135149,5,Review comment 566
180620,4,Review comment 567
173158,5,Review comment 568
30630,4,Review comment 569
185744,,Review comment 570
66448,4,Review comment 571
238900,4,Review comment 572
166872,4,Review comment 573
127301,3,Review comment 574
37025,1,Review comment 575
114608,4,Review comment 576
180050,4,Review comment 577
218074,2,Review comment 578
20906,4,Review comment 579
178965,2,Review comment 580
215827,,Review comment 581
24990,,Review comment 582
147253,5,Review comment 583
86281,4,Review comment 584
69528,4,Review comment 585
64391,2,Review comment 586
263736,3,Review comment 587
54875,5,Review comment 588
208453,4,Review comment 589
45701,5,Review comment 590
17752,4,Review comment 591
22726,5,Review comment 592
171185,4,Review comment 593
117698,4,Review comment 594
112648,5,Review comment 595
115095,4,Review comment 596
17463,1,Review comment 597
245339,,Review comment 598
294831,1,Review comment 599
204143,5,Review comment 600
242170,4,Review comment 601
175288,1,Review comment 602
153915,4,Review comment 603
116213,5,Review comment 604
141953,2,Review comment 605
42021,4,Review comment 606
166566,4,Review comment 607
66217,5,Review comment 608
64830,2,Review comment 609
226000,3,Review comment 610
80363,,Review comment 611
52703,4,Review comment 612
222060,5,Review comment 613
148677,4,Review comment 614
6349,3,Review comment 615
229482,4,Review comment 616
47969,5,Review comment 617
288752,4,Review comment 618
1677,3,Review comment 619
106760,3,Review comment 620
201563,5,Review comment 621
285764,4,Review comment 622
112091,5,Review comment 623
137170,3,Review comment 624
280772,2,Review comment 625
180266,5,Review comment 626
43069,4,Review comment 627
145174,4,Review comment 628
251427,5,Review comment 629
131287,3,Review comment 630
155047,4,Review comment 631
201204,2,Review comment 632
197717,3,Review comment 633
193279,2,Review comment 634
2252,2,Review comment 635
222541,5,Review comment 636
106831,3,Review comment 637
134259,2,Review comment 638
190313,,Review comment 639
141974,3,Review comment 640
179153,4,Review comment 641
193201,4,Review comment 642
190298,4,Review comment 643
287669,2,Review comment 644
94380,5,Review comment 645
249278,5,Review comment 646
229737,3,Review comment 647
220380,2,Review comment 648
129355,4,Review comment 649
26802,3,Review comment 650
6702,,Review comment 651
128120,,Review comment 652
191508,2,Review comment 653
124799,4,Review comment 654
223275,5,Review comment 655
277303,5,Review comment 656
55535,,Review comment 657
283714,5,Review comment 658
183912,5,Review comment 659
236677,5,Review comment 660
163417,5,Review comment 661
212380,5,Review comment 662
84175,5,Review comment 663
237696,3,Review comment 664
35134,4,Review comment 665
20183,2,Review comment 666
253232,,Review comment 667
276371,4,Review comment 668
144229,5,Review comment 669
222404,,Review comment 670
147917,4,Review comment 671
251900,2,Review comment 672
266530,4,Review comment 673
198220,4,Review comment 674
213440,3,Review comment 675
57937,,Review comment 676
50633,2,Review comment 677
189672,4,Review comment 678
202881,4,Review comment 679
64467,5,Review comment 680
290157,4,Review comment 681
62933,4,Review comment 682
121120,2,Review comment 683
123087,4,Review comment 684
163632,5,Review comment 685
277787,5,Review comment 686
240817,5,Review comment 687
63451,2,Review comment 688
104886,5,Review comment 689
160603,3,Review comment 690
178562,5,Review comment 691
231874,5,Review comment 692
220908,2,Review comment 693
126604,5,Review comment 694
138805,3,Review comment 695
230666,5,Review comment 696
152735,5,Review comment 697
33037,5,Review comment 698
278832,,Review comment 699
27634,3,Review comment 700
280671,3,Review comment 701
45525,3,Review comment 702
228747,1,Review comment 703
246920,,Review comment 704
118030,2,Review comment 705
289941,1,Review comment 706
282567,4,Review comment 707
140641,,Review comment 708
8366,4,Review comment 709
104143,5,Review comment 710
40751,5,Review comment 711
113556,4,Review comment 712
151000,2,Review comment 713
81411,4,Review comment 714
146021,5,Review comment 715
249279,4,Review comment 716
136324,1,Review comment 717
228327,4,Review comment 718
225903,4,Review comment 719
153181,3,Review comment 720
200324,4,Review comment 721
82299,3,Review comment 722
76400,,Review comment 723
266136,4,Review comment 724
51412,4,Review comment 725
21945,5,Review comment 726
276303,4,Review comment 727
31100,4,Review comment 728
123962,5,Review comment 729
185865,3,Review comment 730
178835,3,Review comment 731
28366,4,Review comment 732
77109,4,Review comment 733
268726,5,Review comment 734
152612,1,Review comment 735
230358,4,Review comment 736
197494,5,Review comment 737
194341,3,Review comment 738
281639,1,Review comment 739
245899,4,Review comment 740
217024,1,Review comment 741
168045,4,Review comment 742
130676,4,Review comment 743
138537,5,Review comment 744
128274,2,Review comment 745
230277,4,Review comment 746
85029,1,Review comment 747
195613,1,Review comment 748
255558,4,Review comment 749
99268,3,Review comment 750
120279,2,Review comment 751
242840,5,Review comment 752
285731,4,Review comment 753
213441,1,Review comment 754
136313,1,Review comment 755
69650,5,Review comment 756
234639,5,Review comment 757
284007,4,Review comment 758
214773,3,Review comment 759
65048,4,Review comment 760
62175,3,Review comment 761
7392,5,Review comment 762
199482,4,Review comment 763
291454,4,Review comment 764
204337,3,Review comment 765
21447,4,Review comment 766
43275,3,Review comment 767
72497,1,Review comment 768
26767,2,Review comment 769
197170,4,Review comment 770
69615,1,Review comment 771
238684,5,Review comment 772
144770,3,Review comment 773
128815,4,Review comment 774
80145,3,Review comment 775
173789,2,Review comment 776
296176,4,Review comment 777
281847,3,Review comment 778
3171,4,Review comment 779
275030,,Review comment 780
134370,4,Review comment 781
48449,4,Review comment 782
180164,3,Review comment 783
110124,2,Review comment 784
61791,4,Review comment 785
154769,3,Review comment 786
264055,3,Review comment 787
259011,3,Review comment 788
62152,4,Review comment 789
37100,4,Review comment 790
78718,5,Review comment 791
116473,5,Review comment 792
277599,3,Review comment 793
10046,5,Review comment 794
31692,5,Review comment 795
291910,3,Review comment 796
169679,3,Review comment 797
50135,4,Review comment 798
62601,5,Review comment 799
11606,4,Review comment 800
246022,2,Review comment 801
246941,4,Review comment 802
165436,4,Review comment 803
26888,4,Review comment 804
147830,5,Review comment 805
249730,,Review comment 806
212938,4,Review comment 807
178084,3,Review comment 808
31430,5,Review comment 809
246105,5,Review comment 810
200922,5,Review comment 811
137841,4,Review comment 812
261665,5,Review comment 813
130217,1,Review comment 814
80855,2,Review comment 815
85348,3,Review comment 816
114403,,Review comment 817
31988,2,Review comment 818
176109,4,Review comment 819
174326,1,Review comment 820
186403,3,Review comment 821
158618,2,Review comment 822
71981,4,Review comment 823
174753,4,Review comment 824
77721,5,Review comment 825
32028,4,Review comment 826
232839,2,Review comment 827
78872,4,Review comment 828
174234,2,Review comment 829
35741,3,Review comment 830
90657,2,Review comment 831
147910,4,Review comment 832
7096,5,Review comment 833
297569,4,Review comment 834
177166,4,Review comment 835
125901,4,Review comment 836
197533,1,Review comment 837
206128,5,Review comment 838
112997,5,Review comment 839
212842,2,Review comment 840
146250,,Review comment 841
97878,5,Review comment 842
41699,3,Review comment 843
162661,2,Review comment 844
253604,3,Review comment 845
179962,4,Review comment 846
293577,4,Review comment 847
268305,,Review comment 848
148585,5,Review comment 849
288638,4,Review comment 850
113072,5,Review comment 851
83233,4,Review comment 852
142157,5,Review comment 853
183522,3,Review comment 854
243947,1,Review comment 855
272412,2,Review comment 856
159432,4,Review comment 857
257995,5,Review comment 858
222587,1,Review comment 859
51963,4,Review comment 860
245527,5,Review comment 861
141213,3,Review comment 862
291275,1,Review comment 863
174928,3,Review comment 864
134201,3,Review comment 865
180095,3,Review comment 866
180550,5,Review comment 867
260610,4,Review comment 868
90316,2,Review comment 869
43144,3,Review comment 870
246632,1,Review comment 871
10380,1,Review comment 872
229515,5,Review comment 873
234787,4,Review comment 874
214969,3,Review comment 875
72100,5,Review comment 876
239363,4,Review comment 877
5831,5,Review comment 878
197400,3,Review comment 879
179976,1,Review comment 880
223595,4,Review comment 881
208503,5,Review comment 882
42331,3,Review comment 883
273848,5,Review comment 884
225656,1,Review comment 885
199834,3,Review comment 886
138595,5,Review comment 887
32850,5,Review comment 888
30488,3,Review comment 889
29839,4,Review comment 890
234298,2,Review comment 891
163752,4,Review comment 892
230516,4,Review comment 893
129047,3,Review comment 894
237403,3,Review comment 895
183486,4,Review comment 896
162174,5,Review comment 897
192670,5,Review comment 898
271849,2,Review comment 899
97893,4,Review comment 900
111003,3,Review comment 901
89980,2,Review comment 902
274264,3,Review comment 903
99741,5,Review comment 904
19991,5,Review comment 905
14182,3,Review comment 906
88294,4,Review comment 907
262734,4,Review comment 908
103479,4,Review comment 909
192757,3,Review comment 910
224377,,Review comment 911
156960,5,Review comment 912
222090,1,Review comment 913
281575,5,Review comment 914
153186,3,Review comment 915
274028,4,Review comment 916
119329,4,Review comment 917
175908,3,Review comment 918
261345,3,Review comment 919
288184,5,Review comment 920
263452,,Review comment 921
179449,4,Review comment 922
115831,3,Review comment 923
142004,4,Review comment 924
30177,1,Review comment 925
97329,1,Review comment 926
189595,4,Review comment 927
217778,5,Review comment 928
93025,5,Review comment 929
191420,2,Review comment 930
243374,1,Review comment 931
84463,3,Review comment 932
165307,3,Review comment 933
217467,4,Review comment 934
69518,5,Review comment 935
193537,2,Review comment 936
144965,3,Review comment 937
168114,4,Review comment 938
26024,3,Review comment 939
252079,4,Review comment 940
28064,4,Review comment 941
49333,4,Review comment 942
31617,2,Review comment 943
231586,1,Review comment 944
48543,4,Review comment 945
265629,3,Review comment 946
181342,3,Review comment 947
47186,2,Review comment 948
230585,5,Review comment 949
212767,3,Review comment 950
92789,3,Review comment 951
211602,2,Review comment 952
159675,5,Review comment 953
29653,2,Review comment 954
101770,3,Review comment 955
193294,3,Review comment 956
179909,5,Review comment 957
3120,5,Review comment 958
270599,3,Review comment 959
83129,4,Review comment 960
97983,4,Review comment 961
139320,3,Review comment 962
112207,2,Review comment 963
144602,2,Review comment 964
228750,4,Review comment 965
128485,5,Review comment 966
251850,5,Review comment 967
104020,4,Review comment 968
24555,4,Review comment 969
11256,4,Review comment 970
146495,4,Review comment 971
266324,4,Review comment 972
141347,,Review comment 973
278654,2,Review comment 974
132460,5,Review comment 975
206837,,Review comment 976
9909,4,Review comment 977
10877,4,Review comment 978
16658,5,Review comment 979
176330,2,Review comment 980
243224,5,Review comment 981
102345,3,Review comment 982
263486,4,Review comment 983
297654,2,Review comment 984
18221,3,Review comment 985
25093,4,Review comment 986
235712,3,Review comment 987
258819,3,Review comment 988
298587,3,Review comment 989
85547,4,Review comment 990
162979,3,Review comment 991
12095,2,Review comment 992
12129,5,Review comment 993
114168,4,Review comment 994
254621,5,Review comment 995
283347,5,Review comment 996
228016,,Review comment 997
218400,5,Review comment 998
214496,1,Review comment 999
81440,1,Review comment 1000
204928,4,Review comment 1001
260810,3,Review comment 1002
13266,4,Review comment 1003
204443,3,Review comment 1004
171167,2,Review comment 1005
129079,5,Review comment 1006
249577,4,Review comment 1007
28877,4,Review comment 1008
27231,4,Review comment 1009
162918,5,Review comment 1010
59209,5,Review comment 1011
262251,4,Review comment 1012
154948,4,Review comment 1013
251240,,Review comment 1014
71175,5,Review comment 1015
280498,5,Review comment 1016
182190,5,Review comment 1017
65740,4,Review comment 1018
5518,5,Review comment 1019
212223,3,Review comment 1020
117933,4,Review comment 1021
52664,5,Review comment 1022
236583,5,Review comment 1023
186088,4,Review comment 1024
150648,5,Review comment 1025
96904,4,Review comment 1026
11024,3,Review comment 1027
55950,3,Review comment 1028
257635,4,Review comment 1029
175665,3,Review comment 1030
131123,5,Review comment 1031
63237,4,Review comment 1032
203525,4,Review comment 1033
54495,5,Review comment 1034
78337,5,Review comment 1035
57811,4,Review comment 1036
11982,3,Review comment 1037
34677,2,Review comment 1038
248933,5,Review comment 1039
91185,5,Review comment 1040
266388,5,Review comment 1041
110944,1,Review comment 1042
147797,,Review comment 1043
293224,1,Review comment 1044
147281,5,Review comment 1045
243218,,Review comment 1046
110177,3,Review comment 1047
245839,5,Review comment 1048
157346,4,Review comment 1049
32072,4,Review comment 1050
112217,2,Review comment 1051
257444,5,Review comment 1052
164627,,Review comment 1053
238231,4,Review comment 1054
209841,,Review comment 1055
112938,1,Review comment 1056
189898,1,Review comment 1057
251272,5,Review comment 1058
283175,4,Review comment 1059
145596,1,Review comment 1060
8164,4,Review comment 1061
119385,5,Review comment 1062
196750,5,Review comment 1063
203092,4,Review comment 1064
287516,3,Review comment 1065
275995,4,Review comment 1066
175811,4,Review comment 1067
1487,3,Review comment 1068
202197,5,Review comment 1069
77222,4,Review comment 1070
9991,5,Review comment 1071
66871,3,Review comment 1072
236358,5,Review comment 1073
296963,3,Review comment 1074
11050,5,Review comment 1075
179935,4,Review comment 1076
188730,5,Review comment 1077
218680,,Review comment 1078
190907,3,Review comment 1079
119207,5,Review comment 1080
130669,4,Review comment 1081
175585,4,Review comment 1082
201686,4,Review comment 1083
187391,5,Review comment 1084
269377,2,Review comment 1085
244533,2,Review comment 1086
138354,4,Review comment 1087
106875,3,Review comment 1088
41334,3,Review comment 1089
139046,4,Review comment 1090
40096,5,Review comment 1091
159430,4,Review comment 1092
177320,4,Review comment 1093
67641,5,Review comment 1094
297410,1,Review comment 1095
38398,4,Review comment 1096
41238,5,Review comment 1097
65517,5,Review comment 1098
66132,4,Review comment 1099
47594,4,Review comment 1100
184214,4,Review comment 1101
93525,4,Review comment 1102
235603,1,Review comment 1103
244889,5,Review comment 1104
96946,4,Review comment 1105
291330,4,Review comment 1106
143882,5,Review comment 1107
112310,3,Review comment 1108
35422,4,Review comment 1109
80873,5,Review comment 1110
91889,5,Review comment 1111
21307,5,Review comment 1112
64359,4,Review comment 1113
212230,,Review comment 1114
17285,2,Review comment 1115
133974,,Review comment 1116
282217,4,Review comment 1117
282175,,Review comment 1118
158219,1,Review comment 1119
152280,3,Review comment 1120
147081,1,Review comment 1121
155711,3,Review comment 1122
221275,5,Review comment 1123
164557,2,Review comment 1124
108367,,Review comment 1125
100104,5,Review comment 1126
130917,4,Review comment 1127
293479,4,Review comment 1128
255155,4,Review comment 1129
113435,2,Review comment 1130
135174,4,Review comment 1131
211965,4,Review comment 1132
259737,2,Review comment 1133
35253,4,Review comment 1134
71531,5,Review comment 1135
223579,1,Review comment 1136
137074,4,Review comment 1137
5544,4,Review comment 1138
81112,4,Review comment 1139
48713,,Review comment 1140
284552,2,Review comment 1141
37845,1,Review comment 1142
235689,3,Review comment 1143
101454,3,Review comment 1144
262743,4,Review comment 1145
42662,1,Review comment 1146
32962,3,Review comment 1147
172470,5,Review comment 1148
235663,4,Review comment 1149
6490,1,Review comment 1150
84636,5,Review comment 1151
255478,4,Review comment 1152
190282,2,Review comment 1153
6267,4,Review comment 1154
253596,4,Review comment 1155
25878,4,Review comment 1156
243288,4,Review comment 1157
